time,country,city,device,newUsers,page,fileName,linkUrl
2025-02-13 12:38:00,United States,Stanford,desktop,Return,/research/,,
2025-02-13 12:39:00,United States,Stanford,desktop,Return,/research/,,https://papers.ssrn.com/sol3/papers.cfm?abstract_id=4985567
2025-02-13 12:39:00,United States,Stanford,desktop,Return,/research/,/papers/Leadership_Matsuno.pdf,
2025-02-13 12:39:00,United States,Stanford,desktop,Return,/research/,/papers/Leadership_Matsuno.pdf,
2025-02-13 12:39:00,United States,Stanford,desktop,Return,/research/,,https://papers.ssrn.com/sol3/papers.cfm?abstract_id=4985567
2025-02-13 18:39:00,Japan,,mobile,New,/,,
2025-02-13 18:39:00,Japan,,mobile,New,/,,
2025-02-13 21:41:00,United States,Lexington,desktop,New,/,,
2025-02-13 21:41:00,United States,Lexington,desktop,New,/,,
2025-02-14 01:48:00,Singapore,Singapore,desktop,New,/,,
2025-02-14 01:48:00,Singapore,Singapore,desktop,Return,/,/cv/cv.pdf,
2025-02-14 01:48:00,Singapore,Singapore,desktop,Return,/,/cv/cv.pdf,
2025-02-14 01:48:00,Singapore,Singapore,desktop,New,/,,
2025-02-14 01:49:00,Singapore,Singapore,desktop,Return,/,,
2025-02-14 01:49:00,Singapore,Singapore,desktop,Return,/,,
2025-02-15 03:13:00,Japan,Yokohama,desktop,Return,/,/cv/cv.pdf,
2025-02-15 03:13:00,Japan,Yokohama,desktop,Return,/,/cv/cv.pdf,
2025-02-15 03:13:00,Japan,Yokohama,desktop,New,/,,
2025-02-15 03:13:00,Japan,Yokohama,desktop,New,/,,
2025-02-15 05:25:00,,,desktop,New,/,,
2025-02-15 05:25:00,,,desktop,New,/,,
2025-02-15 06:26:00,United States,,desktop,New,/,,
2025-02-15 06:26:00,United States,,desktop,New,/,,
2025-02-15 06:27:00,United States,,desktop,New,/,,
2025-02-15 06:27:00,United States,,desktop,New,/,,
2025-02-15 11:05:00,Canada,Burnaby,desktop,New,/,,
2025-02-15 11:05:00,Canada,Burnaby,desktop,New,/,,
2025-02-15 23:38:00,United States,Boston,desktop,New,/,,
2025-02-15 23:38:00,United States,Boston,desktop,New,/,,
2025-02-15 23:39:00,United States,Boston,desktop,Return,/research/,,
2025-02-15 23:39:00,United States,Boston,desktop,Return,/,,
2025-02-15 23:39:00,United States,Boston,desktop,Return,/research/,,
2025-02-15 23:39:00,United States,Boston,desktop,Return,/,/cv/cv.pdf,
2025-02-15 23:39:00,United States,Boston,desktop,Return,/,,
2025-02-15 23:39:00,United States,Boston,desktop,Return,/,/cv/cv.pdf,
2025-02-17 02:17:00,Japan,,mobile,New,/,,
2025-02-17 02:17:00,Japan,,mobile,New,/,,
2025-02-17 02:18:00,Japan,,mobile,Return,/,/cv/cv.pdf,
2025-02-17 02:18:00,Japan,,mobile,Return,/,/cv/cv.pdf,
2025-02-17 04:39:00,United States,Redwood City,desktop,New,/,,
2025-02-17 04:39:00,United States,Redwood City,desktop,Return,/,/cv/cv.pdf,
2025-02-17 04:39:00,United States,Redwood City,desktop,Return,/,/cv/cv.pdf,
2025-02-17 04:39:00,United States,Redwood City,desktop,New,/,,
2025-02-17 04:43:00,United States,Redwood City,desktop,Return,/research/,,
2025-02-17 04:43:00,United States,Redwood City,desktop,Return,/,,
2025-02-17 04:43:00,United States,Redwood City,desktop,Return,/research/,,
2025-02-17 04:43:00,United States,Redwood City,desktop,Return,/,,
2025-02-17 12:34:00,Hong Kong,,mobile,New,/ja/,,
2025-02-17 12:34:00,Hong Kong,,mobile,New,/ja/,,
2025-02-17 12:35:00,Hong Kong,,mobile,Return,/ja/,,
2025-02-17 12:35:00,Hong Kong,,mobile,Return,/,,
2025-02-17 12:35:00,Hong Kong,,mobile,Return,/,/cv/cv.pdf,
2025-02-17 12:35:00,Hong Kong,,mobile,Return,/,,
2025-02-17 12:35:00,Hong Kong,,mobile,Return,/ja/,,
2025-02-17 12:35:00,Hong Kong,,mobile,Return,/,/cv/cv.pdf,
2025-02-17 12:37:00,Hong Kong,,mobile,Return,/,,
2025-02-17 12:37:00,Hong Kong,,mobile,Return,/research/,,
2025-02-17 12:37:00,Hong Kong,,mobile,Return,/research/,,
2025-02-17 12:37:00,Hong Kong,,mobile,Return,/,,
2025-02-17 12:38:00,Hong Kong,,mobile,Return,/research/,/papers/Leadership_Matsuno.pdf,
2025-02-17 12:38:00,Hong Kong,,mobile,Return,/research/,/papers/Leadership_Matsuno.pdf,
2025-02-17 12:57:00,United States,Boardman,desktop,New,/,,
2025-02-17 12:57:00,United States,Boardman,desktop,New,/,,
2025-02-17 19:50:00,United States,San Jose,mobile,New,/,,
2025-02-17 19:50:00,United States,San Jose,mobile,New,/,,
2025-02-17 19:51:00,United States,San Jose,mobile,Return,/,,
2025-02-17 19:51:00,United States,San Jose,mobile,Return,/,,
2025-02-17 21:50:00,United States,Englewood,desktop,New,/,,
2025-02-17 21:50:00,United States,Englewood,desktop,New,/,,
2025-02-17 21:50:00,United States,Englewood,desktop,Return,/research/,,
2025-02-17 21:50:00,United States,Englewood,desktop,Return,/research/,,
2025-02-17 22:54:00,United States,New York,desktop,New,/,,
2025-02-17 22:54:00,United States,New York,desktop,New,/,,
2025-02-17 23:03:00,United States,New York,desktop,Return,/,,
2025-02-17 23:03:00,United States,New York,desktop,Return,/research/,,
2025-02-17 23:03:00,United States,New York,desktop,Return,/,,
2025-02-17 23:03:00,United States,New York,desktop,Return,/research/,,
2025-02-17 23:04:00,United States,New York,desktop,Return,/,,
2025-02-17 23:04:00,United States,New York,desktop,Return,/,/cv/cv.pdf,
2025-02-17 23:04:00,United States,New York,desktop,Return,/research/,,
2025-02-17 23:04:00,United States,New York,desktop,Return,/,,
2025-02-17 23:04:00,United States,New York,desktop,Return,/,/cv/cv.pdf,
2025-02-17 23:04:00,United States,New York,desktop,Return,/research/,,
2025-02-18 06:11:00,Germany,Stuttgart,mobile (SM-A556B),New,/,,
2025-02-18 06:11:00,Germany,Stuttgart,mobile (SM-A556B),Return,/,/cv/cv.pdf,
2025-02-18 06:11:00,Germany,Stuttgart,mobile (SM-A556B),Return,/,/cv/cv.pdf,
2025-02-18 06:11:00,Germany,Stuttgart,mobile (SM-A556B),New,/,,
2025-02-18 10:20:00,United States,Boston,desktop,New,/,,
2025-02-18 10:20:00,United States,Boston,desktop,New,/,,
2025-02-18 10:21:00,United States,Boston,desktop,Return,/,,
2025-02-18 10:21:00,United States,Boston,desktop,Return,/,,
2025-02-18 10:29:00,United States,Boston,desktop,Return,/,/cv/cv.pdf,
2025-02-18 10:29:00,United States,Boston,desktop,Return,/,/cv/cv.pdf,
2025-02-18 10:31:00,United States,Boston,desktop,Return,/,,
2025-02-18 10:31:00,United States,Boston,desktop,Return,/,,
2025-02-18 13:40:00,United States,Rochester,desktop,New,/,,
2025-02-18 13:40:00,United States,Rochester,desktop,New,/,,
2025-02-18 13:40:00,United States,Rochester,desktop,Return,/research/,,
2025-02-18 13:40:00,United States,Rochester,desktop,Return,/research/,,
2025-02-18 18:55:00,United States,Chapel Hill,desktop,New,/,,
2025-02-18 18:55:00,United States,Chapel Hill,desktop,New,/,,
2025-02-18 18:56:00,United States,Chapel Hill,desktop,Return,/,,
2025-02-18 18:56:00,United States,Chapel Hill,desktop,Return,/research/,,
2025-02-18 18:56:00,United States,Chapel Hill,desktop,Return,/,,
2025-02-18 18:56:00,United States,Chapel Hill,desktop,Return,/research/,,
2025-02-18 18:57:00,United States,Chapel Hill,desktop,Return,/research/,,
2025-02-18 18:57:00,United States,Chapel Hill,desktop,Return,/research/,,
2025-02-18 21:35:00,United States,Donalsonville,desktop,New,/,,
2025-02-18 21:35:00,United States,Donalsonville,desktop,New,/,,
2025-02-18 21:36:00,United States,Donalsonville,desktop,Return,/,/cv/cv.pdf,
2025-02-18 21:36:00,United States,Donalsonville,desktop,Return,/,,
2025-02-18 21:36:00,United States,Donalsonville,desktop,Return,/,/cv/cv.pdf,
2025-02-18 21:36:00,United States,Donalsonville,desktop,Return,/,,
2025-02-18 21:38:00,United States,Donalsonville,desktop,Return,/,,
2025-02-18 21:38:00,United States,Donalsonville,desktop,Return,/,,
2025-02-18 21:38:00,United States,Donalsonville,desktop,Return,/research/,,
2025-02-18 21:38:00,United States,Donalsonville,desktop,Return,/research/,,
2025-02-18 21:38:00,United States,Donalsonville,desktop,Return,/research/,/papers/Leadership_Matsuno.pdf,
2025-02-18 21:38:00,United States,Donalsonville,desktop,Return,/research/,/papers/Leadership_Matsuno.pdf,
2025-02-18 21:43:00,United States,Donalsonville,desktop,Return,/research/,,
2025-02-18 21:43:00,United States,Donalsonville,desktop,Return,/,,
2025-02-18 21:43:00,United States,Donalsonville,desktop,Return,/,,
2025-02-18 21:43:00,United States,Donalsonville,desktop,Return,/research/,,
2025-02-18 21:45:00,United States,Jersey City,mobile,New,/research/,,
2025-02-18 21:45:00,United States,Jersey City,mobile,New,/research/,,
2025-02-18 21:46:00,United States,Jersey City,desktop,Return,/research/,/papers/Leadership_Matsuno.pdf,
2025-02-18 21:46:00,United States,Jersey City,desktop,New,/research/,,
2025-02-18 21:46:00,United States,Jersey City,desktop,New,/research/,,
2025-02-18 21:46:00,United States,Jersey City,desktop,Return,/research/,/papers/Leadership_Matsuno.pdf,
2025-02-18 21:48:00,United States,Yorba Linda,mobile,New,/research/,,
2025-02-18 21:48:00,United States,Yorba Linda,mobile,New,/research/,,
2025-02-19 15:14:00,United States,Leesburg,desktop,Return,/research/,,
2025-02-19 15:14:00,United States,Leesburg,desktop,Return,/,,
2025-02-19 15:14:00,United States,Leesburg,desktop,Return,/research/,,
2025-02-19 15:14:00,United States,Leesburg,desktop,Return,/,,
2025-02-19 15:15:00,United States,Leesburg,desktop,Return,/research/,,https://papers.ssrn.com/sol3/papers.cfm?abstract_id=4985567
2025-02-19 15:15:00,United States,Leesburg,desktop,Return,/research/,,
2025-02-19 15:15:00,United States,Leesburg,desktop,Return,/research/,,https://papers.ssrn.com/sol3/papers.cfm?abstract_id=4985567
2025-02-19 15:15:00,United States,Leesburg,desktop,Return,/research/,,
2025-02-19 15:17:00,United States,Leesburg,desktop,Return,/research/,,
2025-02-19 15:17:00,United States,Leesburg,desktop,Return,/research/,,
2025-02-19 19:03:00,United States,Houston,desktop,Return,/research/,,
2025-02-19 19:03:00,United States,Houston,desktop,New,/,,
2025-02-19 19:03:00,United States,Houston,desktop,Return,/research/,,
2025-02-19 19:03:00,United States,Houston,desktop,New,/,,
2025-02-19 19:05:00,United States,Houston,desktop,Return,/research/,/papers/Leadership_Matsuno.pdf,
2025-02-19 19:05:00,United States,Houston,desktop,Return,/research/,/papers/Leadership_Matsuno.pdf,
2025-02-20 02:05:00,United States,San Jose,mobile,New,/,,
2025-02-20 02:05:00,United States,San Jose,mobile,New,/,,
2025-02-20 04:14:00,Denmark,Odense,desktop,Return,/research/,,
2025-02-20 04:14:00,Denmark,Odense,desktop,Return,/research/,,
2025-02-20 04:14:00,Denmark,Odense,desktop,New,/,,
2025-02-20 04:14:00,Denmark,Odense,desktop,New,/,,
2025-02-20 04:15:00,Denmark,Odense,desktop,Return,/,/cv/cv.pdf,
2025-02-20 04:15:00,Denmark,Odense,desktop,Return,/,,
2025-02-20 04:15:00,Denmark,Odense,desktop,Return,/,,
2025-02-20 04:15:00,Denmark,Odense,desktop,Return,/,/cv/cv.pdf,
2025-02-20 04:20:00,Denmark,Odense,desktop,Return,/research/,,
2025-02-20 04:20:00,Denmark,Odense,desktop,Return,/,,
2025-02-20 04:20:00,Denmark,Odense,desktop,Return,/research/,,https://papers.ssrn.com/sol3/papers.cfm?abstract_id=4680389
2025-02-20 04:20:00,Denmark,Odense,desktop,Return,/,,
2025-02-20 04:20:00,Denmark,Odense,desktop,Return,/research/,,
2025-02-20 04:20:00,Denmark,Odense,desktop,Return,/research/,,https://papers.ssrn.com/sol3/papers.cfm?abstract_id=4680389
2025-02-20 06:02:00,Japan,Nagoya,desktop,New,/,,
2025-02-20 06:02:00,Japan,Nagoya,desktop,New,/,,
2025-02-20 06:03:00,Japan,Nagoya,desktop,Return,/research/,,
2025-02-20 06:03:00,Japan,Nagoya,desktop,Return,/research/,,
2025-02-20 06:03:00,Japan,Nagoya,desktop,Return,/,,
2025-02-20 06:03:00,Japan,Nagoya,desktop,Return,/,,
2025-02-20 06:09:00,Japan,Nagoya,desktop,Return,/research/,,
2025-02-20 06:09:00,Japan,Nagoya,desktop,Return,/research/,,
2025-02-20 17:40:00,Canada,Kingston,desktop,New,/research/,,
2025-02-20 17:40:00,Canada,Kingston,desktop,Return,/,,
2025-02-20 17:40:00,Canada,Kingston,desktop,Return,/,/cv/cv.pdf,
2025-02-20 17:40:00,Canada,Kingston,desktop,New,/research/,,
2025-02-20 17:40:00,Canada,Kingston,desktop,Return,/,,
2025-02-20 17:40:00,Canada,Kingston,desktop,Return,/,/cv/cv.pdf,
2025-02-21 06:00:00,South Korea,Seoul,desktop,New,/,,
2025-02-21 06:00:00,South Korea,Seoul,desktop,New,/,,
2025-02-21 11:33:00,United States,Boston,desktop,Return,/research/,,https://papers.ssrn.com/sol3/papers.cfm?abstract_id=4985567
2025-02-21 11:33:00,United States,Boston,desktop,New,/,,
2025-02-21 11:33:00,United States,Boston,desktop,Return,/,/cv/cv.pdf,
2025-02-21 11:33:00,United States,Boston,desktop,Return,/research/,,
2025-02-21 11:33:00,United States,Boston,desktop,Return,/research/,/papers/Leadership_Matsuno.pdf,
2025-02-21 11:33:00,United States,Boston,desktop,Return,/research/,/papers/Leadership_Matsuno.pdf,
2025-02-21 11:33:00,United States,Boston,desktop,Return,/research/,,https://papers.ssrn.com/sol3/papers.cfm?abstract_id=4985567
2025-02-21 11:33:00,United States,Boston,desktop,Return,/,/cv/cv.pdf,
2025-02-21 11:33:00,United States,Boston,desktop,New,/,,
2025-02-21 11:33:00,United States,Boston,desktop,Return,/research/,,
2025-02-21 11:34:00,United States,Boston,desktop,Return,/,,
2025-02-21 11:34:00,United States,Boston,desktop,Return,/,,
2025-02-21 15:02:00,United States,New York,mobile,New,/,,
2025-02-21 15:02:00,United States,New York,mobile,New,/,,
2025-02-21 19:00:00,Taiwan,,mobile,New,/research/,,
2025-02-21 19:00:00,Taiwan,,mobile,New,/research/,,
2025-02-21 19:36:00,United States,Hermiston,mobile,New,/,,
2025-02-21 19:36:00,United States,Hermiston,mobile,New,/,,
2025-02-22 06:08:00,Japan,Uji,desktop,Return,/,,
2025-02-22 06:08:00,Japan,Uji,desktop,New,/ja/,,
2025-02-22 06:08:00,Japan,Uji,desktop,Return,/research/,,
2025-02-22 06:08:00,Japan,Uji,desktop,Return,/,,
2025-02-22 06:08:00,Japan,Uji,desktop,New,/ja/,,
2025-02-22 06:08:00,Japan,Uji,desktop,Return,/research/,,
2025-02-22 06:09:00,Japan,Uji,desktop,Return,/,,
2025-02-22 06:09:00,Japan,Uji,desktop,Return,/,/cv/cv.pdf,
2025-02-22 06:09:00,Japan,Uji,desktop,Return,/,,
2025-02-22 06:09:00,Japan,Uji,desktop,Return,/ja/,,
2025-02-22 06:09:00,Japan,Uji,desktop,Return,/ja/,,
2025-02-22 06:09:00,Japan,Uji,desktop,Return,/,/cv/cv.pdf,
2025-02-22 06:27:00,Japan,Uji,desktop,Return,/research/,,
2025-02-22 06:27:00,Japan,Uji,desktop,Return,/,/cv/cv.pdf,
2025-02-22 06:27:00,Japan,Uji,desktop,Return,/,,
2025-02-22 06:27:00,Japan,Uji,desktop,Return,/ja/,,
2025-02-22 06:27:00,Japan,Uji,desktop,Return,/,/cv/cv.pdf,
2025-02-22 06:27:00,Japan,Uji,desktop,Return,/research/,,
2025-02-22 06:27:00,Japan,Uji,desktop,Return,/,,
2025-02-22 06:27:00,Japan,Uji,desktop,Return,/ja/,,
2025-02-22 06:31:00,Japan,Uji,desktop,Return,/,,
2025-02-22 06:31:00,Japan,Uji,desktop,Return,/research/,,
2025-02-22 06:31:00,Japan,Uji,desktop,Return,/,,
2025-02-22 06:31:00,Japan,Uji,desktop,Return,/research/,,
2025-02-22 06:36:00,Japan,Uji,desktop,Return,/research/,,
2025-02-22 06:36:00,Japan,Uji,desktop,Return,/research/,,
2025-02-23 20:42:00,United States,Urbana,desktop,New,/,,
2025-02-23 20:42:00,United States,Urbana,desktop,Return,/research/,,
2025-02-23 20:42:00,United States,Urbana,desktop,Return,/research/,,
2025-02-23 20:42:00,United States,Urbana,desktop,New,/,,
2025-02-23 20:43:00,Singapore,,desktop,New,/,,
2025-02-23 20:43:00,Singapore,,desktop,New,/,,
2025-02-23 20:44:00,Singapore,,desktop,Return,/,/cv/cv.pdf,
2025-02-23 20:44:00,Singapore,,desktop,Return,/,,
2025-02-23 20:44:00,Singapore,,desktop,Return,/,,
2025-02-23 20:44:00,Singapore,,desktop,Return,/,/cv/cv.pdf,
2025-02-23 20:45:00,Singapore,,desktop,Return,/,,
2025-02-23 20:45:00,Singapore,,desktop,Return,/research/,,
2025-02-23 20:45:00,Singapore,,desktop,Return,/research/,,https://papers.ssrn.com/sol3/papers.cfm?abstract_id=4680389
2025-02-23 20:45:00,Singapore,,desktop,Return,/research/,,https://papers.ssrn.com/sol3/papers.cfm?abstract_id=4680389
2025-02-23 20:45:00,Singapore,,desktop,Return,/research/,,
2025-02-23 20:45:00,Singapore,,desktop,Return,/,,
2025-02-23 20:45:00,Singapore,,desktop,Return,/research/,,https://papers.ssrn.com/sol3/papers.cfm?abstract_id=4985567
2025-02-23 20:45:00,Singapore,,desktop,Return,/research/,,https://papers.ssrn.com/sol3/papers.cfm?abstract_id=4985567
2025-02-23 20:48:00,Singapore,,desktop,Return,/research/,,
2025-02-23 20:48:00,Singapore,,desktop,Return,/research/,,
2025-02-24 11:40:00,United States,Chicago,desktop,Return,/,/cv/cv.pdf,
2025-02-24 11:40:00,United States,Chicago,desktop,New,/,,
2025-02-24 11:40:00,United States,Chicago,desktop,Return,/,/cv/cv.pdf,
2025-02-24 11:40:00,United States,Chicago,desktop,New,/,,
2025-02-24 22:48:00,United States,Newark,desktop,Return,/research/,,
2025-02-24 22:48:00,United States,Newark,desktop,New,/,,
2025-02-24 22:48:00,United States,Newark,desktop,Return,/research/,,
2025-02-24 22:48:00,United States,Newark,desktop,New,/,,
2025-02-24 22:49:00,United States,Newark,desktop,Return,/,/cv/cv.pdf,
2025-02-24 22:49:00,United States,Newark,desktop,Return,/,,
2025-02-24 22:49:00,United States,Newark,desktop,Return,/,/cv/cv.pdf,
2025-02-24 22:49:00,United States,Newark,desktop,Return,/,,
2025-02-25 00:02:00,United States,Bridgeport,desktop,Return,/,/cv/cv.pdf,
2025-02-25 00:02:00,United States,Bridgeport,desktop,New,/,,
2025-02-25 00:02:00,United States,Bridgeport,desktop,New,/,,
2025-02-25 00:02:00,United States,Bridgeport,desktop,Return,/,/cv/cv.pdf,
2025-02-25 08:07:00,Japan,Saitama,desktop,Return,/,,
2025-02-25 08:07:00,Japan,Saitama,desktop,Return,/,/cv/cv.pdf,
2025-02-25 08:07:00,Japan,Saitama,desktop,Return,/,,
2025-02-25 08:07:00,Japan,Saitama,desktop,Return,/,/cv/cv.pdf,
2025-02-25 08:07:00,Japan,Saitama,desktop,New,/ja/,,
2025-02-25 08:07:00,Japan,Saitama,desktop,New,/ja/,,
2025-02-25 08:11:00,Japan,Saitama,desktop,Return,/research/,,
2025-02-25 08:11:00,Japan,Saitama,desktop,Return,/research/,,
2025-02-25 08:11:00,Japan,Saitama,desktop,Return,/,,
2025-02-25 08:11:00,Japan,Saitama,desktop,Return,/,,
2025-02-25 09:26:00,Japan,,desktop,New,/,,
2025-02-25 09:26:00,Japan,,desktop,New,/,,
2025-02-25 12:45:00,Japan,Shinagawa City,desktop,Return,/,/cv/cv.pdf,
2025-02-25 12:45:00,Japan,Shinagawa City,desktop,New,/,,
2025-02-25 12:45:00,Japan,Shinagawa City,desktop,Return,/,/cv/cv.pdf,
2025-02-25 12:45:00,Japan,Shinagawa City,desktop,New,/,,
2025-02-25 12:48:00,Japan,Shinagawa City,desktop,Return,/,,
2025-02-25 12:48:00,Japan,Shinagawa City,desktop,Return,/,,
2025-02-25 12:48:00,Japan,Shinagawa City,desktop,Return,/research/,,
2025-02-25 12:48:00,Japan,Shinagawa City,desktop,Return,/research/,,
2025-02-25 12:49:00,Japan,Shinagawa City,desktop,Return,/research/,,
2025-02-25 12:49:00,Japan,Shinagawa City,desktop,Return,/research/,,
2025-02-25 14:27:00,United States,Bellingham,desktop,New,/,,
2025-02-25 14:27:00,United States,Bellingham,desktop,Return,/research/,,
2025-02-25 14:27:00,United States,Bellingham,desktop,New,/,,
2025-02-25 14:27:00,United States,Bellingham,desktop,Return,/research/,,https://papers.ssrn.com/sol3/papers.cfm?abstract_id=4985567
2025-02-25 14:27:00,United States,Bellingham,desktop,Return,/research/,,https://papers.ssrn.com/sol3/papers.cfm?abstract_id=4985567
2025-02-25 14:27:00,United States,Bellingham,desktop,Return,/research/,,
2025-02-28 02:53:00,United States,Palo Alto,desktop,New,/,,
2025-02-28 02:53:00,United States,Palo Alto,desktop,Return,/,/cv/cv.pdf,
2025-02-28 02:53:00,United States,Palo Alto,desktop,New,/,,
2025-02-28 02:53:00,United States,Palo Alto,desktop,Return,/,/cv/cv.pdf,
2025-02-28 21:06:00,United States,New York,mobile,New,/,,
2025-02-28 21:06:00,United States,New York,mobile,New,/,,
2025-02-28 21:07:00,United States,New York,mobile,Return,/,/cv/cv.pdf,
2025-02-28 21:07:00,United States,New York,mobile,Return,/,,
2025-02-28 21:07:00,United States,New York,mobile,Return,/,,
2025-02-28 21:07:00,United States,New York,mobile,Return,/,/cv/cv.pdf,
2025-03-01 00:40:00,United States,New York,desktop,New,/,,
2025-03-01 00:40:00,United States,New York,desktop,Return,/research/,,https://papers.ssrn.com/sol3/papers.cfm?abstract_id=4985567
2025-03-01 00:40:00,United States,New York,desktop,Return,/research/,,
2025-03-01 00:40:00,United States,New York,desktop,Return,/research/,,https://papers.ssrn.com/sol3/papers.cfm?abstract_id=4985567
2025-03-01 00:40:00,United States,New York,desktop,Return,/research/,,
2025-03-01 00:40:00,United States,New York,desktop,New,/,,
2025-03-01 00:41:00,United States,New York,desktop,Return,/,/cv/cv.pdf,
2025-03-01 00:41:00,United States,New York,desktop,Return,/research/,,
2025-03-01 00:41:00,United States,New York,desktop,Return,/research/,/papers/Leadership_Matsuno.pdf,
2025-03-01 00:41:00,United States,New York,desktop,Return,/research/,/papers/Leadership_Matsuno.pdf,
2025-03-01 00:41:00,United States,New York,desktop,Return,/research/,,
2025-03-01 00:41:00,United States,New York,desktop,Return,/,,
2025-03-01 00:41:00,United States,New York,desktop,Return,/,/cv/cv.pdf,
2025-03-01 00:41:00,United States,New York,desktop,Return,/,,
2025-03-01 06:00:00,Taiwan,,desktop,New,/,,
2025-03-01 06:00:00,Taiwan,,desktop,Return,/,/cv/cv.pdf,
2025-03-01 06:00:00,Taiwan,,desktop,New,/,,
2025-03-01 06:00:00,Taiwan,,desktop,Return,/,/cv/cv.pdf,
2025-03-01 10:52:00,Taiwan,,desktop,Return,/,,
2025-03-01 10:52:00,Taiwan,,desktop,Return,/,,
2025-03-01 18:01:00,United States,New York,desktop,Return,/research/,,
2025-03-01 18:01:00,United States,New York,desktop,Return,/,/cv/cv.pdf,
2025-03-01 18:01:00,United States,New York,desktop,Return,/research/,,
2025-03-01 18:01:00,United States,New York,desktop,Return,/,/cv/cv.pdf,
2025-03-01 18:01:00,United States,New York,desktop,New,/,,
2025-03-01 18:01:00,United States,New York,desktop,New,/,,
2025-03-01 18:04:00,United States,New York,desktop,Return,/,,
2025-03-01 18:04:00,United States,New York,desktop,Return,/,,
2025-03-01 21:27:00,Japan,Shibuya,mobile (SC-56C),Return,/,/cv/cv.pdf,
2025-03-01 21:27:00,Japan,Shibuya,mobile (SC-56C),New,/,,
2025-03-01 21:27:00,Japan,Shibuya,mobile (SC-56C),Return,/,/cv/cv.pdf,
2025-03-01 21:27:00,Japan,Shibuya,mobile (SC-56C),New,/,,
2025-03-01 21:28:00,Japan,Shibuya,mobile (SC-56C),New,/,,
2025-03-01 21:28:00,Japan,Shibuya,mobile (SC-56C),Return,/ja/,,
2025-03-01 21:28:00,Japan,Shibuya,mobile (SC-56C),New,/,,
2025-03-01 21:28:00,Japan,Shibuya,mobile (SC-56C),Return,/ja/,,
2025-03-02 00:33:00,South Korea,Anyang-si,desktop,Return,/,/cv/cv.pdf,
2025-03-02 00:33:00,South Korea,Anyang-si,desktop,New,/,,
2025-03-02 00:33:00,South Korea,Anyang-si,desktop,Return,/,/cv/cv.pdf,
2025-03-02 00:33:00,South Korea,Anyang-si,desktop,New,/,,
2025-03-02 00:34:00,South Korea,Anyang-si,desktop,Return,/research/,,
2025-03-02 00:34:00,South Korea,Anyang-si,desktop,Return,/,,
2025-03-02 00:34:00,South Korea,Anyang-si,desktop,Return,/,,
2025-03-02 00:34:00,South Korea,Anyang-si,desktop,Return,/research/,,
2025-03-02 00:35:00,South Korea,Anyang-si,desktop,Return,/research/,,
2025-03-02 00:35:00,South Korea,Anyang-si,desktop,Return,/,,
2025-03-02 00:35:00,South Korea,Anyang-si,desktop,Return,/,,
2025-03-02 00:35:00,South Korea,Anyang-si,desktop,Return,/research/,,
2025-03-02 02:24:00,China,Shanghai,desktop,New,/,,
2025-03-02 02:24:00,China,Shanghai,desktop,New,/,,
2025-03-02 02:24:00,China,Wuhan,desktop,Return,/,/cv/cv.pdf,
2025-03-02 02:24:00,China,Wuhan,desktop,Return,/,/cv/cv.pdf,
2025-03-02 02:25:00,China,Shanghai,desktop,Return,/,,
2025-03-02 02:25:00,China,Shanghai,desktop,Return,/research/,,
2025-03-02 02:25:00,China,Shanghai,desktop,Return,/,,
2025-03-02 02:25:00,China,Shanghai,desktop,Return,/research/,,
2025-03-02 08:38:00,Japan,Otsuki,mobile,New,/ja/,,
2025-03-02 08:38:00,Japan,Otsuki,mobile,New,/ja/,,
2025-03-02 08:39:00,Japan,Otsuki,mobile,Return,/ja/,,
2025-03-02 08:39:00,Japan,Otsuki,mobile,Return,/,,
2025-03-02 08:39:00,Japan,Otsuki,mobile,Return,/ja/,,
2025-03-02 08:39:00,Japan,Otsuki,mobile,Return,/,,
2025-03-02 08:41:00,Japan,Otsuki,mobile,Return,/,/cv/cv.pdf,
2025-03-02 08:41:00,Japan,Otsuki,mobile,Return,/ja/,,
2025-03-02 08:41:00,Japan,Otsuki,mobile,Return,/,,
2025-03-02 08:41:00,Japan,Otsuki,mobile,Return,/,/cv/cv.pdf,
2025-03-02 08:41:00,Japan,Otsuki,mobile,Return,/ja/,,
2025-03-02 08:41:00,Japan,Otsuki,mobile,Return,/,,
2025-03-02 13:13:00,United States,West Lafayette,desktop,New,/,,
2025-03-02 13:13:00,United States,West Lafayette,desktop,New,/,,
2025-03-02 13:14:00,United States,West Lafayette,desktop,Return,/,,
2025-03-02 13:14:00,United States,West Lafayette,desktop,Return,/,/cv/cv.pdf,
2025-03-02 13:14:00,United States,West Lafayette,desktop,Return,/,,
2025-03-02 13:14:00,United States,West Lafayette,desktop,Return,/,/cv/cv.pdf,
2025-03-03 22:48:00,United States,Friday Harbor,mobile,New,/,,
2025-03-03 22:48:00,United States,Friday Harbor,mobile,New,/,,
2025-03-03 23:24:00,Japan,Shinjuku City,desktop,New,/ja/,,
2025-03-03 23:24:00,Japan,Shinjuku City,desktop,New,/ja/,,
2025-03-03 23:29:00,Japan,Shinjuku City,desktop,Return,/ja/,,
2025-03-03 23:29:00,Japan,Shinjuku City,desktop,Return,/ja/,,
2025-03-03 23:32:00,United States,Stanford,desktop,New,/,,
2025-03-03 23:32:00,United States,Stanford,desktop,New,/,,
2025-03-04 02:43:00,Hong Kong,Hong Kong,desktop,New,/,,
